24.3851 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000027994924F40>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000027994924FA0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000027994927F40>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000279DE81E530>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
147.0912 	DATA 	Keypress: j
147.8912 	DATA 	Keypress: j
148.7254 	DATA 	Keypress: j
150.0916 	DATA 	Keypress: j
150.9086 	DATA 	Keypress: j
151.6592 	DATA 	Keypress: j
152.5097 	DATA 	Keypress: j
153.3929 	DATA 	Keypress: j
155.0605 	DATA 	Keypress: j
155.7769 	DATA 	Keypress: j
156.5605 	DATA 	Keypress: j
157.2943 	DATA 	Keypress: j
158.1777 	DATA 	Keypress: j
158.9947 	DATA 	Keypress: j
159.9284 	DATA 	Keypress: j
161.3954 	DATA 	Keypress: j
162.0457 	DATA 	Keypress: j
162.8956 	DATA 	Keypress: j
163.5793 	DATA 	Keypress: j
164.0201 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
164.0205 	EXP 	window1: mouseVisible = True
164.0535 	EXP 	gradcpt_image: autoDraw = False
164.0535 	EXP 	es_text_component_gradcpt: height = 0.05
164.0535 	EXP 	es_text_component_gradcpt: height = 0.05
164.0535 	EXP 	es_text_component_gradcpt: height = 0.05
164.0535 	EXP 	es_text_component_gradcpt: text = 'How difficult was it to disengage from your thoughts?'
164.0535 	EXP 	es_gradcpt_slider: markerPos = None
164.0535 	EXP 	es_gradcpt_slider: markerPos = None
164.0535 	EXP 	low_anchor_gradcpt: height = 0.05
164.0535 	EXP 	low_anchor_gradcpt: height = 0.05
164.0535 	EXP 	low_anchor_gradcpt: height = 0.05
164.0535 	EXP 	low_anchor_gradcpt: text = 'extremely\neasy'
164.0535 	EXP 	high_anchor_gradcpt: height = 0.05
164.0535 	EXP 	high_anchor_gradcpt: height = 0.05
164.0535 	EXP 	high_anchor_gradcpt: height = 0.05
164.0535 	EXP 	high_anchor_gradcpt: text = 'extremely\ndifficult'
164.0535 	EXP 	es_text_component_gradcpt: autoDraw = True
164.0535 	EXP 	es_gradcpt_slider: autoDraw = True
164.0535 	EXP 	low_anchor_gradcpt: autoDraw = True
164.0535 	EXP 	high_anchor_gradcpt: autoDraw = True
168.0129 	DATA 	Mouse: Left button down, pos=(1009,538)
168.0295 	EXP 	es_gradcpt_slider: markerPos = 0.5453703703703704
168.0450 	EXP 	es_gradcpt_slider: markerPos = 0.5453703703703704
168.0618 	EXP 	es_gradcpt_slider: markerPos = 0.5453703703703704
168.0785 	EXP 	es_gradcpt_slider: markerPos = 0.5453703703703704
168.0795 	DATA 	Mouse:  Left button up, pos=(1009,538)
168.0949 	EXP 	es_gradcpt_slider: markerPos = 0.5453703703703704
168.1117 	EXP 	enter_advance_gradcpt: autoDraw = True
170.5638 	EXP 	window1: mouseVisible = False
170.5655 	DATA 	Keypress: return
170.5791 	EXP 	es_text_component_gradcpt: autoDraw = False
170.5791 	EXP 	es_gradcpt_slider: autoDraw = False
170.5791 	EXP 	low_anchor_gradcpt: autoDraw = False
170.5791 	EXP 	high_anchor_gradcpt: autoDraw = False
170.5791 	EXP 	enter_advance_gradcpt: autoDraw = False
170.5791 	EXP 	es_gradcpt_isi_text: autoDraw = True
171.0633 	EXP 	New trial (rep=1, index=0): <Trial 1 (0 in rep 1) data={'thisN': 1, 'thisTrialN': 0, 'thisRepN': 1}>
171.0636 	EXP 	window1: mouseVisible = True
171.0826 	EXP 	es_gradcpt_isi_text: autoDraw = False
171.0826 	EXP 	es_gradcpt_isi_text: autoDraw = False
171.0826 	EXP 	es_text_component_gradcpt: height = 0.05
171.0826 	EXP 	es_text_component_gradcpt: height = 0.05
171.0826 	EXP 	es_text_component_gradcpt: height = 0.05
171.0826 	EXP 	es_text_component_gradcpt: text = 'How positive or negative were you feeling?'
171.0826 	EXP 	es_gradcpt_slider: markerPos = None
171.0826 	EXP 	es_gradcpt_slider: markerPos = None
171.0826 	EXP 	low_anchor_gradcpt: height = 0.05
171.0826 	EXP 	low_anchor_gradcpt: height = 0.05
171.0826 	EXP 	low_anchor_gradcpt: height = 0.05
171.0826 	EXP 	low_anchor_gradcpt: text = 'completely\nnegative'
171.0826 	EXP 	high_anchor_gradcpt: height = 0.05
171.0826 	EXP 	high_anchor_gradcpt: height = 0.05
171.0826 	EXP 	high_anchor_gradcpt: height = 0.05
171.0826 	EXP 	high_anchor_gradcpt: text = 'completely\npositive'
171.0826 	EXP 	es_text_component_gradcpt: autoDraw = True
171.0826 	EXP 	es_gradcpt_slider: autoDraw = True
171.0826 	EXP 	low_anchor_gradcpt: autoDraw = True
171.0826 	EXP 	high_anchor_gradcpt: autoDraw = True
173.9647 	DATA 	Mouse: Left button down, pos=(1100,537)
173.9800 	EXP 	es_gradcpt_slider: markerPos = 0.6296296296296297
173.9971 	EXP 	es_gradcpt_slider: markerPos = 0.6296296296296297
174.0135 	EXP 	es_gradcpt_slider: markerPos = 0.6296296296296297
174.0303 	EXP 	es_gradcpt_slider: markerPos = 0.6296296296296297
174.0467 	EXP 	es_gradcpt_slider: markerPos = 0.6296296296296297
174.0635 	EXP 	es_gradcpt_slider: markerPos = 0.6296296296296297
174.0799 	EXP 	es_gradcpt_slider: markerPos = 0.6296296296296297
174.0967 	EXP 	es_gradcpt_slider: markerPos = 0.6296296296296297
174.0977 	DATA 	Mouse:  Left button up, pos=(1100,537)
174.1137 	EXP 	es_gradcpt_slider: markerPos = 0.6296296296296297
174.1300 	EXP 	enter_advance_gradcpt: autoDraw = True
174.9654 	EXP 	window1: mouseVisible = False
174.9663 	DATA 	Keypress: return
174.9803 	EXP 	es_text_component_gradcpt: autoDraw = False
174.9803 	EXP 	es_gradcpt_slider: autoDraw = False
174.9803 	EXP 	low_anchor_gradcpt: autoDraw = False
174.9803 	EXP 	high_anchor_gradcpt: autoDraw = False
174.9803 	EXP 	enter_advance_gradcpt: autoDraw = False
174.9803 	EXP 	es_gradcpt_isi_text: autoDraw = True
175.4644 	EXP 	New trial (rep=2, index=0): <Trial 2 (0 in rep 2) data={'thisN': 2, 'thisTrialN': 0, 'thisRepN': 2}>
175.4648 	EXP 	window1: mouseVisible = True
175.4837 	EXP 	es_gradcpt_isi_text: autoDraw = False
175.4837 	EXP 	es_gradcpt_isi_text: autoDraw = False
175.4837 	EXP 	es_text_component_gradcpt: height = 0.05
175.4837 	EXP 	es_text_component_gradcpt: height = 0.05
175.4837 	EXP 	es_text_component_gradcpt: height = 0.05
175.4837 	EXP 	es_text_component_gradcpt: text = 'How intentional were your thoughts?'
175.4837 	EXP 	es_gradcpt_slider: markerPos = None
175.4837 	EXP 	es_gradcpt_slider: markerPos = None
175.4837 	EXP 	low_anchor_gradcpt: height = 0.05
175.4837 	EXP 	low_anchor_gradcpt: height = 0.05
175.4837 	EXP 	low_anchor_gradcpt: height = 0.05
175.4837 	EXP 	low_anchor_gradcpt: text = 'completely\nunintentional'
175.4837 	EXP 	high_anchor_gradcpt: height = 0.05
175.4837 	EXP 	high_anchor_gradcpt: height = 0.05
175.4837 	EXP 	high_anchor_gradcpt: height = 0.05
175.4837 	EXP 	high_anchor_gradcpt: text = 'completely\nintentional'
175.4837 	EXP 	es_text_component_gradcpt: autoDraw = True
175.4837 	EXP 	es_gradcpt_slider: autoDraw = True
175.4837 	EXP 	low_anchor_gradcpt: autoDraw = True
175.4837 	EXP 	high_anchor_gradcpt: autoDraw = True
177.2483 	DATA 	Mouse: Left button down, pos=(981,531)
177.2644 	EXP 	es_gradcpt_slider: markerPos = 0.5194444444444445
177.2812 	EXP 	es_gradcpt_slider: markerPos = 0.5194444444444445
177.2979 	EXP 	es_gradcpt_slider: markerPos = 0.5194444444444445
177.3144 	EXP 	es_gradcpt_slider: markerPos = 0.5194444444444445
177.3154 	DATA 	Mouse:  Left button up, pos=(981,531)
177.3311 	EXP 	es_gradcpt_slider: markerPos = 0.5194444444444445
177.3480 	EXP 	enter_advance_gradcpt: autoDraw = True
177.5994 	EXP 	window1: mouseVisible = False
177.6003 	DATA 	Keypress: return
177.6146 	EXP 	es_text_component_gradcpt: autoDraw = False
177.6146 	EXP 	es_gradcpt_slider: autoDraw = False
177.6146 	EXP 	low_anchor_gradcpt: autoDraw = False
177.6146 	EXP 	high_anchor_gradcpt: autoDraw = False
177.6146 	EXP 	enter_advance_gradcpt: autoDraw = False
177.6146 	EXP 	es_gradcpt_isi_text: autoDraw = True
178.0987 	EXP 	New trial (rep=3, index=0): <Trial 3 (0 in rep 3) data={'thisN': 3, 'thisTrialN': 0, 'thisRepN': 3}>
178.0990 	EXP 	window1: mouseVisible = True
178.1180 	EXP 	es_gradcpt_isi_text: autoDraw = False
178.1180 	EXP 	es_gradcpt_isi_text: autoDraw = False
178.1180 	EXP 	es_text_component_gradcpt: height = 0.05
178.1180 	EXP 	es_text_component_gradcpt: height = 0.05
178.1180 	EXP 	es_text_component_gradcpt: height = 0.05
178.1180 	EXP 	es_text_component_gradcpt: text = 'Were your thoughts freely moving?'
178.1180 	EXP 	es_gradcpt_slider: markerPos = None
178.1180 	EXP 	es_gradcpt_slider: markerPos = None
178.1180 	EXP 	low_anchor_gradcpt: height = 0.05
178.1180 	EXP 	low_anchor_gradcpt: height = 0.05
178.1180 	EXP 	low_anchor_gradcpt: height = 0.05
178.1180 	EXP 	low_anchor_gradcpt: text = 'unmoving'
178.1180 	EXP 	high_anchor_gradcpt: height = 0.05
178.1180 	EXP 	high_anchor_gradcpt: height = 0.05
178.1180 	EXP 	high_anchor_gradcpt: height = 0.05
178.1180 	EXP 	high_anchor_gradcpt: text = 'moving freely'
178.1180 	EXP 	es_text_component_gradcpt: autoDraw = True
178.1180 	EXP 	es_gradcpt_slider: autoDraw = True
178.1180 	EXP 	low_anchor_gradcpt: autoDraw = True
178.1180 	EXP 	high_anchor_gradcpt: autoDraw = True
179.1995 	DATA 	Mouse: Left button down, pos=(1005,551)
179.2150 	EXP 	es_gradcpt_slider: markerPos = 0.5416666666666666
179.2317 	EXP 	es_gradcpt_slider: markerPos = 0.5416666666666666
179.2482 	EXP 	es_gradcpt_slider: markerPos = 0.5416666666666666
179.2651 	EXP 	es_gradcpt_slider: markerPos = 0.5416666666666666
179.2820 	EXP 	es_gradcpt_slider: markerPos = 0.5416666666666666
179.2832 	DATA 	Mouse:  Left button up, pos=(1005,551)
179.2985 	EXP 	es_gradcpt_slider: markerPos = 0.5416666666666666
179.3149 	EXP 	enter_advance_gradcpt: autoDraw = True
179.8677 	DATA 	Keypress: return
179.8836 	EXP 	window1: mouseVisible = False
179.8987 	EXP 	es_text_component_gradcpt: autoDraw = False
179.8987 	EXP 	es_gradcpt_slider: autoDraw = False
179.8987 	EXP 	low_anchor_gradcpt: autoDraw = False
179.8987 	EXP 	high_anchor_gradcpt: autoDraw = False
179.8987 	EXP 	enter_advance_gradcpt: autoDraw = False
179.8987 	EXP 	es_gradcpt_isi_text: autoDraw = True
180.3827 	EXP 	New trial (rep=4, index=0): <Trial 4 (0 in rep 4) data={'thisN': 4, 'thisTrialN': 0, 'thisRepN': 4}>
180.3830 	EXP 	window1: mouseVisible = True
180.4032 	EXP 	es_gradcpt_isi_text: autoDraw = False
180.4032 	EXP 	es_gradcpt_isi_text: autoDraw = False
180.4032 	EXP 	es_text_component_gradcpt: height = 0.05
180.4032 	EXP 	es_text_component_gradcpt: height = 0.05
180.4032 	EXP 	es_text_component_gradcpt: height = 0.05
180.4032 	EXP 	es_text_component_gradcpt: text = 'Where was your attention during the previous trial?'
180.4032 	EXP 	es_gradcpt_slider: markerPos = None
